GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G30048190,"30","48190","02804318","3048190",Martinsdale Colony,Martinsdale Colony CDP,"57",U1,N,N,G4210,S,5758717.00000000000,0.00000000000,"+46.4895935","-110.2605050",19539.18409920000,5758715.40039000008
G30049000,"30","49000","02412981","3049000",Melstone,Melstone town,"43",C1,N,N,G4110,A,1592391.00000000000,0.00000000000,"+46.5986957","-107.8682552",6816.22435871000,1592393.79499999993
G30051550,"30","51550","02413011","3051550",Moore,Moore town,"43",C1,N,N,G4110,A,757569.00000000000,0.00000000000,"+46.9749559","-109.6951129",5397.03678460000,757571.01657500002
G30052600,"30","52600","02408895","3052600",Musselshell,Musselshell CDP,"57",U1,N,N,G4210,S,6608170.00000000000,0.00000000000,"+46.4941535","-108.0962925",20397.12092110000,6608171.44491000101
G30064525,"30","64525","02411006","3064525",Roundup,Roundup city,"25",C1,N,N,G4110,A,3349364.00000000000,571.00000000000,"+46.4483346","-108.5396872",9478.59422711000,3349937.28085000021
G30064975,"30","64975","02412589","3064975",Ryegate,Ryegate town,"43",C1,N,N,G4110,A,1952165.00000000000,0.00000000000,"+46.2984389","-109.2537472",6506.81205561000,1952158.83446999989
G30067225,"30","67225","02583845","3067225",Shawmut,Shawmut CDP,"57",U1,N,N,G4210,S,5559199.00000000000,0.00000000000,"+46.3446628","-109.5121524",18527.18788980000,5559201.20603000000
G30075700,"30","75700","02804320","3075700",Twodot,Twodot CDP,"57",U1,N,N,G4210,S,2124364.00000000000,0.00000000000,"+46.4222628","-110.0727186",10141.09716750000,2124362.83969999989
G30080875,"30","80875","02409602","3080875",Wilsall,Wilsall CDP,"57",U1,N,N,G4210,S,2897392.00000000000,0.00000000000,"+45.9843265","-110.6603950",9511.43985017000,2897390.88514999999
G40000300,"40","00300","02805301","4000300",Adams,Adams CDP,"57",U1,N,N,G4210,S,1306781.00000000000,0.00000000000,"+36.7545812","-101.0751637",4861.40339088000,1306781.42387000006
G40001350,"40","01350","02412348","4001350",Aline,Aline town,"43",C1,N,N,G4110,A,685251.00000000000,0.00000000000,"+36.5096704","-098.4486716",4052.98342904000,685251.83942900004
G40001800,"40","01800","02409690","4001800",Alva,Alva city,"25",C1,N,N,G4110,A,16329450.00000000000,0.00000000000,"+36.7895662","-098.6648768",29583.81492610000,16329459.34579999931
G40002000,"40","02000","02412362","4002000",Amorita,Amorita town,"43",C1,N,N,G4110,A,654359.00000000000,0.00000000000,"+36.9240116","-098.2936208",3233.57859167000,654358.46586999996
G40003900,"40","03900","02805303","4003900",Baker,Baker CDP,"57",U1,N,N,G4210,S,2575619.00000000000,0.00000000000,"+36.8704136","-101.0177123",6421.46064937000,2575617.43416000018
G40004750,"40","04750","02411674","4004750",Beaver,Beaver town,"43",C1,N,N,G4110,A,2974361.00000000000,0.00000000000,"+36.8150875","-100.5235431",8939.73187286000,2974351.40381000005
G40006100,"40","06100","02411691","4006100",Billings,Billings town,"43",C1,N,N,G4110,A,1743260.00000000000,0.00000000000,"+36.5375949","-097.4417494",24492.10176350000,1743260.41638000007
G40006200,"40","06200","02411692","4006200",Binger,Binger town,"43",C1,N,N,G4110,A,2012562.00000000000,0.00000000000,"+35.3097239","-098.3429360",10099.97278740000,2012560.34162000008
